x,Cf,Cf_theory
0.171425,0.000383476,0.00026154
0.171707,0.000412721,0.000261324
0.17199,0.000645447,0.00026111
0.172272,0.000635728,0.000260895
0.172555,0.000483936,0.000260682
0.172838,0.000646056,0.000260468
0.17312,0.000500525,0.000260256
0.173403,0.000718222,0.000260043
0.173686,0.000492827,0.000259832
0.173968,0.000649648,0.000259621
0.174167,5.94358e-05,0.000259473
0.174251,0.000667266,0.00025941
0.174534,0.000578731,0.0002592
0.174816,0.000550142,0.00025899
0.175099,0.000564023,0.000258781
0.175382,0.000643792,0.000258572
0.175664,0.000652565,0.000258364
0.175947,0.000449272,0.000258157
0.17623,0.000631848,0.00025795
0.176512,0.000480547,0.000257743
0.176795,0.000606221,0.000257537
0.177077,0.000427299,0.000257331
0.17736,0.000609783,0.000257126
0.177643,0.000525886,0.000256921
0.177925,0.000464586,0.000256717
0.178208,0.000543296,0.000256514
0.178491,0.000661819,0.00025631
0.178773,0.000469039,0.000256108
0.179056,0.000643387,0.000255906
0.179339,0.000497151,0.000255704
0.179621,0.000713048,0.000255503
0.179904,0.000489688,0.000255302
0.180187,0.000645422,0.000255101
0.180469,0.000663494,0.000254902
0.180752,0.000575523,0.000254702
0.181034,0.000547063,0.000254503
0.181317,0.000560752,0.000254305
0.1816,0.0006368,0.000254107
0.181882,0.000649326,0.000253909
0.182165,0.00044531,0.000253712
0.182448,0.000623387,0.000253516
0.1825,5.08244e-05,0.000253479
0.18273,0.000465672,0.00025332
0.183013,0.000587378,0.000253124
0.183296,0.000431069,0.000252929
0.183578,0.000582388,0.000252734
0.183861,0.000409456,0.00025254
0.184144,0.000525177,0.000252346
0.184426,0.000658745,0.000252152
0.184709,0.00045168,0.000251959
0.184992,0.000648278,0.000251767
0.185274,0.000542185,0.000251575
0.185557,0.000462038,0.000251383
0.185839,0.000522139,0.000251192
0.186122,0.000602848,0.000251001
0.186405,0.000423099,0.00025081
0.186687,0.000601041,0.000250621
0.18697,0.000475707,0.000250431
0.187253,0.000623479,0.000250242
0.187535,0.000437844,0.000250053
0.187818,0.000537999,0.000249865
0.188101,0.000398608,0.000249677
0.188383,0.000574709,0.00024949
0.188666,0.000777014,0.000249303
0.188949,0.000544511,0.000249116
0.189231,0.000419542,0.00024893
0.189514,0.000556847,0.000248745
0.189796,0.000459087,0.000248559
0.190079,0.000387978,0.000248374
0.190362,0.000535153,0.00024819
0.190644,0.000654958,0.000248006
0.190833,6.0717e-05,0.000247883
0.190927,0.000579952,0.000247822
0.19121,0.000479157,0.000247639
0.191492,0.000656817,0.000247456
0.191775,0.000460939,0.000247274
0.192058,0.000569834,0.000247092
0.19234,0.000440717,0.00024691
0.192623,0.000605329,0.000246729
0.192906,0.00044575,0.000246548
0.193188,0.000544359,0.000246368
0.193471,0.000399901,0.000246188
0.193754,0.000550032,0.000246008
0.194036,0.000462752,0.000245829
0.194319,0.000694451,0.00024565
0.194601,0.00060782,0.000245472
0.194884,0.000619501,0.000245293
0.195167,0.000694363,0.000245116
0.195449,0.000791848,0.000244938
0.195732,0.000575075,0.000244762
0.196015,0.000463814,0.000244585
