Step, Residual_VM
1183, 693.067
1184, 691.928
1185, 691.217
1186, 690.623
1187, 688.096
1188, 687.53
1189, 688.307
1190, 686.516
1191, 685.401
1192, 684.212
1193, 683.372
1194, 683.518
1195, 681.765
1196, 680.722
1197, 679.461
1198, 678.662
1199, 677.645
1200, 677.015
1201, 676.553
1202, 675.197
1203, 674.469
1204, 675.383
1205, 673.093
1206, 672.435
1207, 672.079
1208, 670.878
1209, 670.971
1210, 669.444
1211, 668.436
1212, 667.937
1213, 667.245
1214, 666.301
1215, 665.83
1216, 663.854
1217, 662.627
1218, 663.671
1219, 662.064
1220, 660.862
1221, 660.351
1222, 658.836
1223, 659.466
1224, 657.773
1225, 657.374
1226, 656.475
1227, 654.637
1228, 655.23
1229, 654.465
1230, 653.733
1231, 652.439
1232, 651.082
1233, 652.129
1234, 650.945
1235, 648.964
1236, 648.813
1237, 648.565
1238, 646.973
1239, 645.891
1240, 646.529
1241, 645.539
1242, 644.528
1243, 643.441
1244, 642.55
1245, 643.357
1246, 641.618
1247, 640.667
1248, 640.49
1249, 639.384
1250, 639.598
1251, 638.017
1252, 637.192
1253, 636.647
1254, 636.071
1255, 635.087
1256, 634.843
1257, 632.952
1258, 631.837
1259, 632.658
1260, 631.122
1261, 630.448
1262, 629.59
1263, 628.104
1264, 629.293
1265, 627.198
1266, 626.739
1267, 626.25
1268, 624.688
1269, 625.197
1270, 624.003
1271, 622.563
1272, 622.207
1273, 621.341
1274, 620.919
1275, 619.639
1276, 619.778
1277, 618.461
1278, 618.486
1279, 617.025
1280, 615.81
1281, 616.386
1282, 615.498
1283, 613.732
1284, 613.187
1285, 613.178
1286, 611.893
1287, 610.508
1288, 611.148
1289, 610.131
1290, 609.387
1291, 608.291
1292, 607.293
1293, 608.128
1294, 606.438
1295, 605.636
1296, 605.495
1297, 604.213
1298, 604.427
1299, 603.059
1300, 602.271
1301, 601.483
1302, 601.09
1303, 600.385
1304, 599.916
1305, 597.846
1306, 597.322
1307, 597.944
1308, 596.341
1309, 595.624
1310, 594.734
1311, 593.82
1312, 594.038
1313, 592.702
1314, 592.529
1315, 591.112
1316, 589.931
1317, 590.742
1318, 589.702
1319, 588.83
1320, 588.044
1321, 586.988
1322, 587.722
1323, 586.244
1324, 585.494
1325, 585.286
1326, 584.241
1327, 584.364
1328, 583.067
1329, 582.225
1330, 581.864
1331, 581.362
1332, 580.441
1333, 580.069
1334, 578.594
1335, 577.388
1336, 578.185
1337, 576.928
1338, 576.215
1339, 575.409
1340, 574.166
1341, 575.225
1342, 573.217
1343, 573.135
1344, 572.271
1345, 570.839
1346, 571.43
1347, 570.579
1348, 570.09
1349, 569.003
1350, 568.01
1351, 568.702
1352, 567.716
1353, 565.935
1354, 566.197
1355, 565.78
1356, 564.385
1357, 563.57
1358, 564.262
1359, 563.281
1360, 562.268
1361, 561.616
1362, 560.905
1363, 561.438
1364, 559.939
1365, 559.229
1366, 559.1
1367, 558.074
1368, 557.205
1369, 556.428
1370, 557.114
1371, 555.5
1372, 554.898
1373, 554.561
1374, 553.613
1375, 553.645
1376, 552.616
1377, 551.633
1378, 551.236
1379, 550.568
1380, 550.075
1381, 549.279
1382, 549.208
1383, 548.025
1384, 548.098
1385, 546.918
1386, 545.818
1387, 546.313
1388, 545.596
1389, 544.94
1390, 544.016
1391, 543.269
1392, 543.899
1393, 542.753
1394, 541.149
1395, 541.635
1396, 540.992
1397, 539.891
1398, 539.005
1399, 539.536
1400, 538.695
1401, 537.848
1402, 537.238
1403, 536.498
1404, 537.005
1405, 535.597
1406, 534.973
1407, 534.928
1408, 534.079
1409, 533.994
1410, 533.03
1411, 532.26
1412, 531.854
1413, 531.528
1414, 530.732
1415, 530.429
1416, 529.103
1417, 528.13
1418, 528.897
1419, 527.613
1420, 527.026
1421, 526.554
1422, 525.279
1423, 526.123
1424, 524.66
1425, 524.277
1426, 523.806
1427, 522.659
1428, 522.966
1429, 522.228
1430, 521.904
1431, 520.996
1432, 520.063
1433, 520.431
1434, 519.844
1435, 518.485
1436, 518.056
1437, 518.201
1438, 517.194
1439, 516.428
1440, 515.784
1441, 515.046
1442, 515.119
1443, 514.054
1444, 513.912
1445, 512.687
1446, 511.615
1447, 512.374
1448, 511.503
1449, 510.215
1450, 509.526
1451, 509.524
1452, 508.377
1453, 507.278
1454, 508.296
1455, 506.817
1456, 506.445
1457, 505.701
1458, 504.978
1459, 505.168
1460, 503.917
1461, 503.933
1462, 503.04
1463, 501.764
1464, 502.477
1465, 501.674
1466, 500.357
1467, 499.984
1468, 499.941
1469, 498.914
1470, 498.139
1471, 498.237
1472, 497.679
1473, 496.852
1474, 496.999
1475, 496.061
1476, 495.433
1477, 495.027
1478, 494.66
1479, 494.07
1480, 493.589
1481, 493.603
1482, 492.506
1483, 492.186
1484, 491.78
1485, 490.865
1486, 490.91
1487, 490.422
1488, 489.338
1489, 488.919
1490, 488.721
1491, 488.174
1492, 487.437
1493, 487.422
1494, 486.532
1495, 485.664
1496, 485.482
1497, 484.898
1498, 484.49
1499, 483.762
1500, 483.672
1501, 482.77
1502, 482.705
1503, 481.706
1504, 480.769
1505, 481.262
1506, 480.641
1507, 480.041
1508, 479.358
1509, 478.681
1510, 479.176
1511, 478.139
1512, 476.97
1513, 477.09
1514, 476.743
1515, 475.658
1516, 475.087
1517, 475.487
1518, 474.674
1519, 473.954
1520, 473.597
1521, 472.962
1522, 473.173
1523, 472.059
1524, 471.763
1525, 471.572
1526, 470.788
1527, 470.662
1528, 470.142
1529, 469.237
1530, 468.869
1531, 468.614
1532, 468.113
1533, 467.556
1534, 467.548
1535, 466.57
1536, 466.477
1537, 465.9
1538, 464.977
1539, 465.17
1540, 464.732
1541, 464.312
1542, 463.589
1543, 463.051
1544, 463.099
1545, 462.772
1546, 461.585
1547, 461.298
1548, 461.451
1549, 460.551
1550, 459.959
1551, 459.446
1552, 458.763
1553, 459.083
1554, 457.87
1555, 457.824
1556, 457.167
1557, 456.228
1558, 456.516
